vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2018 THOR CHATEAU CITATION 24SR,2160472,Used,"New River, AZ",,5,24 ft 10 in,95099,N/A
2008 ITASCA ELLIPSE 40TD,2130428,Used,"Springfield, IL",,4,40 ft 0 in,94499,N/A
2020 THOR QUANTUM KM24,2117123,Used,"Fort Pierce, FL",,5,24 ft 8 in,94999,N/A
2014 TIFFIN ALLEGRO BREEZE 32BR,2147235,Used,"Tyler, TX",,-,0 ft 0 in,94999,N/A
2018 FOREST RIVER SUNSEEKER MBS 2400W,2208388,Used,"Mesa, AZ",,6,24 ft 11 in,96099,N/A
2018 THOR CHATEAU 24WS,P112023,Used,"Longmont, CO",,6,25 ft 7 in,96998,N/A
2018 THOR QUANTUM KM24,2191894,Used,"Draper, UT",,6,24 ft 8 in,95999,N/A
2017 DYNAMAX ISATA 3 24FW,2196124P,Used,"Vacaville, CA",,3,24 ft 7 in,95999,N/A
2015 ROADTREK ROADTREK RS E-TREK,50001P,Used,"Kaysville, UT",,2,22 ft 9 in,95999,N/A
2019 COACHMEN PRISM 2300DS,2097607A,Used,"Katy, TX",,3,25 ft 1 in,96999,N/A
2017 COACHMEN PRISM 2150LE,2145144,Used,"Tulsa, OK",,5,25 ft 0 in,96999,N/A
2017 THOR FOUR WINDS SIESTA 24SS,2193936,Used,"Pocatello, ID",,5,25 ft 7 in,96999,N/A
2018 THOR FOUR WINDS 24HL,2193255,Used,"Fort Pierce, FL",,5,24 ft 8 in,97999,N/A
2018 THOR CHATEAU CITATION 24SR,2193275,Used,"Fort Pierce, FL",,5,24 ft 10 in,97999,N/A
2017 THOR COMPASS 23TB,2197237P,Used,"Uxbridge, MA",,3,23 ft 6 in,97999,N/A
2018 THOR GEMINI 23TR,2196118,Used,"Camping World of Oklahoma City East - Oklahoma City, OK",,4,23 ft 6 in,97499,N/A
2019 THOR FREEDOM ELITE 24FE,2204352Z,Used,"Idaho Falls, ID",,5,24 ft 8 in,97999,N/A
2017 FOREST RIVER FORESTER MBS 2401W,2206871P,Used,"Albuquerque, NM",,5,24 ft 11 in,98699,N/A
2019 JAYCO MELBOURNE 24K,2191105,Used,"Roanoke, VA",,5,25 ft 2 in,98799,N/A
2018 THOR CHATEAU 24FS,2193980,Used,"Dothan, AL",,5,24 ft 8 in,98799,N/A
2017 THOR GEMINI 23TR,2199159P,Used,"Camping World of Reno - Reno, NV",,4,23 ft 6 in,98899,N/A
2018 THOR GEMINI 23TB,3000188P,Used,"Georgetown, KY",,4,23 ft 6 in,98899,N/A
2019 FLEETWOOD PULSE 24B,2119667P,Used,"Escanaba, MI",,5,25 ft 2 in,98999,N/A
2021 THOR COLEMAN 24EQ,2160200,Used,"Nashville, TN",,5,24 ft 8 in,98999,N/A
2020 WINNEBAGO VITA 24P,2205641,Used,"Huber Heights, OH",,5,24 ft 7 in,98999,N/A
2014 RENEGADE VILLAGIO 25TBS,2203917,Used,"Alvarado, TX",,3,7 ft 9 in,98399,N/A
2018 THOR COMPASS 24TX,2207307,Used,"Statesville, NC",,3,24 ft 11 in,98995,N/A
2014 WINNEBAGO VIEW 24G,2207023,Used,"Spring, TX",,6,25 ft 5 in,98999,N/A
2016 WINNEBAGO NAVION 24J,1140CWY,Used,"Cheyenne, WY",,3,26 ft 0 in,99999,N/A
2018 THOR SYNERGY SD24,2152262,Used,"Strafford, MO",,5,25 ft 1 in,99999,N/A
2016 WINNEBAGO NAVION 24G,2167507P,Used,"Pasco, WA",,4,25 ft 8 in,99999,N/A
2008 FOUR WINDS MANDALAY 40H,2190439,Used,"Puyallup, WA",,3,41 ft 6 in,99999,N/A
2016 THOR FOUR WINDS SIESTA 24SR,2204007,Used,"Draper, UT",,5,25 ft 0 in,99099,N/A
2017 THOR FOUR WINDS SIESTA 24SS,2207035,Used,"Nashville, TN",,5,25 ft 7 in,99999,N/A
2013 FLEETWOOD EXCURSION 35B,2136386,Used,"Nashville, TN",,2,38 ft 0 in,99995,N/A
2014 AIRSTREAM INTERSTATE 3500 LOUNGE,2142894P,Used,"Fresno, CA",,2,24 ft 5 in,99999,N/A
2015 TIFFIN ALLEGRO BREEZE 32BR,2153711,Used,"Midway, FL",,5,33 ft 2 in,99999,N/A
2021 THOR FREEDOM ELITE 24FE,2154278,Used,"Woodstock, GA",,6,24 ft 8 in,99999,N/A
2021 JAYCO MELBOURNE 24T,2160203P,Used,"Grand Rapids, MI",,3,25 ft 2 in,100999,N/A
2017 FOREST RIVER FORESTER MBS 2401R,2206925P,Used,"Albuquerque, NM",,5,24 ft 8 in,100999,N/A
2020 WINNEBAGO VITA 24P,2150644,Used,"Draper, UT",,5,24 ft 7 in,100299,N/A
2017 JAYCO MELBOURNE 24K,2202953,Used,"Las Vegas, NV",,5,24 ft 10 in,101499,N/A
2018 THOR FREEDOM ELITE 24FE,2204155,Used,"McGeorge RV - A Camping World Company - Ashland, VA",,5,24 ft 8 in,101499,N/A
2018 WINNEBAGO FUSE 23T,2191960P,Used,"Rossford, OH",,4,24 ft 0 in,101799,N/A
2018 THOR CHATEAU 24WS,1000710P,Used,"New Braunfels, TX",,6,25 ft 7 in,100999,N/A
2020 THOR COMPASS 23TW,2177702P,Used,"Piqua, OH",,3,23 ft 6 in,101999,N/A
2018 FOREST RIVER SUNSEEKER TS 2370D,2207626,Used,"West Boylston, MA",,2,26 ft 1 in,101999,N/A
